nama pengguna,produk,review,rating,waktu transaksi
aditya58888,Aksesoris (Charger & Earphone),,5,2023-01-03 11:41
kurniasih0711,Aksesoris (Charger & Earphone),,5,2023-01-03 00:25
nafiskamukarom,Aksesoris (Charger & Earphone),,5,2023-01-02 22:28
ilhmnc34,Split iPhone,Barang bagus bgtt,5,2023-01-02 10:31
tikaartanty14,Aksesoris (Charger & Earphone),,5,2023-01-02 07:50
winndys,Aksesoris (Charger & Earphone),,5,2023-01-01 17:07
kinantipurwanti2,Aksesoris (Charger & Earphone),,5,2023-01-01 10:53
e*****3,iPhone 12 Mini 64GB / 128GB / 256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-12-31 17:25
s2ez14yprj,Split iPhone,,5,2022-12-31 15:55
kurniasih0711,Aksesoris (Charger & Earphone),,5,2022-12-30 05:16
garfield85,Aksesoris (Charger & Earphone),,5,2022-12-25 22:00
sophik21,Aksesoris (Charger & Earphone),,5,2022-12-25 18:02
s*****d,Aksesoris (Charger & Earphone),,5,2022-12-25 02:29
wiwitdika111121,Aksesoris (Charger & Earphone),,5,2022-12-23 15:48
nadiavanda,Leather Case Silicone For Apple IPhone Original,,5,2022-12-23 12:02
k*****1,Leather Case Silicone For Apple IPhone Original,,5,2022-12-22 14:01
x*****4,Aksesoris (Charger & Earphone),,5,2022-12-22 11:38
firman_saksono,Aksesoris (Charger & Earphone),"Mantap, barang dan pengirimannya memuaskan 👍",5,2022-12-21 22:51
f*****6,iPhone XS 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-12-21 20:05
dewirahmadanilubis,iPhone XS 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"Sesuai Pesanan, Penjual agak Slow respon tapi baik dan ramah. Dapet bh sesuai request tpi baru beberapa hari turun tapi gapapa karna second juga, pokonya oke deh imei dll aman alhamdullilah. Semoga awet",5,2022-12-21 17:10
jamaaaalsbond,Leather Case Silicone For Apple IPhone Original,,5,2022-12-21 12:10
antungwijaya,Aksesoris (Charger & Earphone),,5,2022-12-21 12:01
silvianaputri15,Aksesoris (Charger & Earphone),,5,2022-12-21 04:52
hizamarsaji,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Sepadan dengan Harga:sepadan

Barang sesuai, tidak ada lecet. Respon penjual sangat bagus & pengemasan sangat aman.
Ga nyesel beli di sini 🥰",5,2022-12-21 02:01
d*****9,iPhone 12 64GB/128GB Bekas Original 100% | NORMAL MULUS FULLSET,"Karna second jdi gk terlalu mulus, bh 89, imei masih aman ke daftar juga, semoga kedepanya gk ada kendala, aamiin 👍👍👍",5,2022-12-20 11:32
zulfahkekeivanka,Aksesoris (Charger & Earphone),,5,2022-12-19 19:33
a*****a,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Alhamdulillah hp yg dipengenin adek udh sampe, dan sesuai req, adminnya juga ngabarin terus makasih 🫶🏻🫶🏻",5,2022-12-19 16:34
a*****i,Aksesoris (Charger & Earphone),Fitur Terbaik:baik,5,2022-12-19 12:58
m*****g,iPhone 11 Pro 64GB/256GB Bekas Second Original,,5,2022-12-19 06:30
m*****u,iPhone XS 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"Fitur Terbaik:sangat terbaik
Sepadan dengan Harga:sepadan sekali

Barang original kecepatan pengiriman barang baik dapat bh diatas 90% alhamdulilah",5,2022-12-18 23:04
r*****i,iPhone X 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-12-18 19:24
edymulya83,iPhone XS 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,Fitur Terbaik:sesuai dg pesanan,5,2022-12-18 18:58
d*****n,iPhone X 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,miminnya responnya baik semoga sehat selalu Aamiin,5,2022-12-18 18:23
a*****o,Aksesoris (Charger & Earphone),,5,2022-12-18 13:13
bimariantaka,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-12-17 18:44
ramagraphy5,iPad 6 32GB/128GB Wifi Only Bekas Original 100% | Normal Mulus Fullset,,5,2022-12-17 14:56
indrioktaviand28,iPhone XS Max 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-12-16 22:11
christofer49,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-12-16 17:56
hernawati1104,iPhone XS 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-12-16 13:34
u*****h,Aksesoris (Charger & Earphone),Barang sudah datang semoga awet. Sudah dua kali order disini semoga bisa langganan dan memang recomended👍🏻👍🏻👍🏻 thanks seller,5,2022-12-16 09:05
c*****d,iPhone 8Plus 64GB/256GB Second Original 100% | NORMAL MULUS FULLSET,,5,2022-12-15 16:47
fiandahafsr,Leather Case Silicone For Apple IPhone Original,,5,2022-12-15 15:21
