nama pengguna,produk,review,rating,waktu transaksi
meizenelan,IPhone 11 128 GB Second original,,4,2022-06-02 02:11
yosephine.sari24,iphone 7 Plus 128 GB Second Original,,5,2022-06-01 17:18
rakawandaniar,IPHONE XS 512GB SECOND ORIGINAL,,5,2022-06-01 14:28
w*****o,IPhone 11 128 GB Second original,"Fast banget,order malem besok sorenya udah sampek,chatnya fast juga,
Packing mantab.full bubble wrap.",5,2022-06-01 11:29
kholilm12,IPhone 11 128 GB Second original,,5,2022-06-01 04:26
a*****a,iPhone 8 64 GB Second Original,"Alhamdulillah barang bagus, recomended nih yang mau cari iphone, sukses terus",5,2022-06-01 00:34
t*****d,iphone 8 Plus 64 GB Second Original,"Bagus bgt, admin ramah bangettt!!! Ini fix si kalo mau beli Ip lg pasti disini 👏🏻👏🏻👏🏻",5,2022-05-31 23:25
widiaaaningrummm,iPhone 8 64 GB Second Original,,5,2022-05-31 17:20
e*****.,Iphone 11 Pro 64 GB SECOND ORIGINAL,"Sengaja ngga langsung direview, mau liat pemakaian selama 2mggu. Ternyata BH turun dari 91% jadi 87%, padahal pemakaian normal, jarang main sosmed, apalagi game. Shock banget saya wkwk
3uTools ijo semua
Kondisi sedikit lecet dibagian kanan bawah, its okay. Pengiriman aman, walaupun agak degdegan coy",4,2022-05-31 16:59
gfcitracs,IPhone 11 128 GB Second original,,5,2022-05-31 15:49
i*****n,12 Mini 256GB Second Original,"Beli di shopee, ambil di toko. Pas lagi liburan ke Jogja. Kondisi hape ada kelupaan di bagian kameranya, Layarnya juga lecet sedikit di bagian atas, jadi harus beli lagi hydrogel Dan lens cover biar ga keliatan.
Harganya masih cukup mahal untuk kondisi ini. Cuma saya kurang sabar aja.",5,2022-05-31 11:40
veliananatasya,Packing Kayu Dan Custom Box Pengiriman,"Kualitas:yaaaaaa
Harga:Passss

Pakingan  terjaminnnn tidak ada yang pecah semua aman mantap",5,2022-05-31 03:15
veliananatasya,IPhone 11 128 GB Second original,"Hapenya oke oke ajaaa ga ada kendala sampai saat ini  ada sedikit gores""  tapi gapapa masi baguss terus udah si itu aja overall bagusssssssss  rekomen buat yang mau beli hp iphone sekennnn",5,2022-05-31 03:15
maraa001,Iphone SE 2020 256 GB Second Original,,5,2022-05-31 00:51
ana_fatmawati1996,LINK SPLIT PAYMENT TIMOHO,,5,2022-05-30 22:24
topanj,iPhone Xr 128 GB Second Original,,5,2022-05-30 12:03
h*****a,iPhone 8 Plus 256 GB Second Original,,5,2022-05-30 08:35
rahmatyusufkusuma,LINK SPLIT ORDER ONLINE,,5,2022-05-30 05:23
mihsantirta17,LINK SPLIT PAYMENT TIMOHO,,4,2022-05-30 02:11
a*****a,IPHONE 11 PRO MAX 256 GB SECOND ORIGINAL,"adminnya fast respon dan ramah banget, dikasih detail video hpnya juga, pengiriman cepat 2 hari udh sampe, bubble wrap tebel👍🏻👍🏻 thankyouu😍😍✨✨",5,2022-05-28 15:07
viorensi92,LINK SPLIT PAYMENT TIMOHO,,5,2022-05-28 10:35
visenavina,iPhone 11 64 GB Second Original,Bagus bgt kak,5,2022-05-28 06:43
s*****t,iPhone 11 64 GB Second Original,"Bagus bgt, masih mulus. Udh cek 3 tools nya 98% bagus masih ijo semua thank u",5,2022-05-27 17:01
