nama pengguna,produk,review,rating,waktu transaksi
batita.kids,iPhone XS Max 256GB SECOND ORIGINAL,"Fast respon, pengemasan dan pengiriman cepat. Udah 2 kali beli disini, dpt bh 100%, fisik 97% yaa namanya juga second. Over all bagus, thx",5,2022-05-12 18:41
lorossae,iPhone 8 Plus 64GB SECOND ORIGINAL,,5,2022-05-12 12:34
hildafadilla09,iPhone XR 64GB Second ORIGINAL,,5,2022-05-12 08:54
putranastyo,FAST CHARGING SET ORIGINAL,,5,2022-05-12 08:05
putranastyo,iPhone 11 64GB SECOND ORIGINAL,"pengiriman cepat 2hari nyampe, packing kayu aman banget, barang mulus banget like new 
baru kasi rating stelah 1bln pemakaian, barang masi fungsi normal gada kendala apapun, bh turun 2% isokay krn emg barang second
overall worth it lah, recommended",5,2022-05-12 08:05
anggitaintanu,iPhone  5s  SECOND ORIGINAL,,5,2022-05-12 02:39
p*****b,iPhone XS 64GB SECOND ORIGINAL,barang mantap 👍🏻 dan yang paling penting tuh respon penjual yang menurut aku cukup bagus loh dan sabar gitu 👍🏻,5,2022-05-11 14:03
difamorenonusa,FAST CHARGING SET ORIGINAL,,5,2022-05-11 09:46
d*****a,iPhone 6 64gb Second,,5,2022-05-11 02:51
rere1396,iPhone 11 64GB SECOND ORIGINAL,"Udah hampir sebulan pemakaian belum ada kendala , dapet BH 100% , semua nya normal & produk original , barang dalam kondisi like new muluss banget 🥹🥹🥹 Thanks ifonespot 🥰🥰🥰🥰",5,2022-05-10 04:41
yuli290303,FAST CHARGING SET ORIGINAL,,5,2022-05-09 03:41
intan_saras99,iPhone 11 64GB SECOND ORIGINAL,"Sangat salut dengan pelayanan di toko ini. Cepat, sigap, dan tetap ramah dengan client. Sangat worth it dan berkualitas gadget yg dijual. Terima kasih ifonespot",5,2022-05-08 11:24
ulfaashilah2,iPhone XR 128 GB Second ORIGINAL,Sellernya baik sekaliii🥺🥺🥺🌈✨,5,2022-05-08 06:16
devi_rt14,iPhone 5s Second Original,"Barang oke lumayan mulus, kualitas sesuai harga, barang second jadi fisik gak mulus 100%, batery health tiap 4 hari sekali turun 1%, dari awal beli sampe sekarang kurang lebih 20 harian dari 98% sekarang tinggal 93%, fungsi yg lainnya sejauh ini oke",4,2022-05-08 05:22
intanmichelle,iPhone XR 64GB Second ORIGINAL,,5,2022-05-07 09:46
vitaaeka,iPhone XS 64GB SECOND ORIGINAL,,5,2022-05-07 07:16
s*****o,iPhone X 64GB SECOND ORIGINAL,Alhamdulillah. Barang sangat mulus. Dapat bh 94% 😍 pelayanan sangat memuaskan. Sudah 2x order disini. Makasih kak,5,2022-05-06 11:21
shobihafifm169,iPhone 5s Second Original,,5,2022-05-06 10:14
khainara_hijab,iPhone 5s Second Original,,5,2022-05-06 07:17
shandyfaqih256,iPhone 5s Second Original,,5,2022-05-06 03:48
bawanggorengsimbok,iPhone XS 256 GB SECOND ORIGINAL,"Amann, mantap",5,2022-05-05 21:39
lintang_maharani123,iPhone  5s  SECOND ORIGINAL,,5,2022-05-05 02:44
m*****n,FAST CHARGING SET ORIGINAL,Produknya originall.. cepat banget ngisinya.. rekomendasi bangett,5,2022-05-04 06:19
muslimin0801,iPhone XS 64GB SECOND ORIGINAL,,5,2022-05-01 12:04
asvndra,iPhone XS 256 GB SECOND ORIGINAL,,5,2022-04-30 17:48
tiragantina,iPhone  5s  SECOND ORIGINAL,"Mksh ifonespot, semoga awet😊",5,2022-04-30 12:06
ridor08,FAST CHARGING SET ORIGINAL,,5,2022-04-30 03:51
n*****n,iPhone 5s Second Original,,5,2022-04-29 23:07
triaambar98,iPhone XR 64GB Second ORIGINAL,Kedua kalinya beli di sini,5,2022-04-29 14:34
lulu_rahmah,IPhone 11  PRO 64GB SECOND ORIGINAL,Original,5,2022-04-29 11:03
a*****a,iPhone XS 64GB SECOND ORIGINAL,,5,2022-04-29 05:47
fitafatimahhh,iPhone X 64GB SECOND ORIGINAL,,5,2022-04-29 03:16
fitafatimahhh,iPhone  5s  SECOND ORIGINAL,,5,2022-04-29 03:16
saidanainggolan,iPhone X 256GB SECOND ORIGINAL,,5,2022-04-28 17:17
ilhamga45,iPhone 11 64GB SECOND ORIGINAL,Muluss rahayuuuu,5,2022-04-28 15:22
fajar1797,iPhone 5s Second Original,"Produknya bener2 bagus, semua dicek aman. Pelayanannya juga ramah bgt bener2 dibantuin ngecek semua kondisinya sampai dipastikan semua baik2 aja. Trimakasih banyak",5,2022-04-28 13:46
n*****6,iPhone XR 64GB Second ORIGINAL,"pelayanan tokonya bagus banget,ramah banget, saya dapet BH 100% ga nyangka banget semoga awett",5,2022-04-28 13:32
tsweizyra_,FAST CHARGING SET ORIGINAL,,5,2022-04-28 13:23
agung.siswantoro,FAST CHARGING SET ORIGINAL,,5,2022-04-28 11:38
azumafela,iPhone XR 64GB Second ORIGINAL,,5,2022-04-28 11:25
gilangyanila,iPhone X 64GB SECOND ORIGINAL,"barang bagus mulus ,pko nya mantaap",5,2022-04-28 08:21
b*****s,iPhone 11 128GB  SECOND ORIGINAL,"Pengemasan dan pengiriman cepat. Hp muluss, dapet bh 90%. Terimakasihhh",5,2022-04-27 19:13
gilangr33,FAST CHARGING SET ORIGINAL,,5,2022-04-27 18:39
adityaagungprayoga06,iPhone XS 256 GB SECOND ORIGINAL,Mantap mimin cepet sekali,5,2022-04-27 15:03
anitamard4_,FAST CHARGING SET ORIGINAL,,5,2022-04-27 08:40
gilangr33,iPhone  5s  SECOND ORIGINAL,,5,2022-04-27 07:03
anggisafrina,iPhone 7 Plus 128GB SECOND ORIGINAL,Fullset masih mulus2.. oke banget sii ini..,5,2022-04-27 06:51
ultra.violet,IPhone 11  PRO 64GB SECOND ORIGINAL,so far so good. admin helpful dan pengiriman cepat banget. ngga ada kurangnya sejauh ini dalam pemakaian hampir 12 jam… semoga bakal awet dan ga rusak yaa. thankyou so much,5,2022-04-26 15:54
j*****a,iPhone 11 128GB  SECOND ORIGINAL,"Barangnya bener2 mulus, bagus, ga ada minus. Semua nya berfungsi dengan baik. Second but like new. Pelayanannya juga ramah. Mantapp bangettt deh🤩👍",5,2022-04-26 14:27
r*****i,iPhone 5s Second Original,,5,2022-04-26 14:26
agriwianda,iPhone  5s  SECOND ORIGINAL,,5,2022-04-26 11:33
rizka.purwandari,iPhone  5s  SECOND ORIGINAL,,5,2022-04-26 09:15
gwena_suraiya,iPhone 5s Second Original,"Kuliatas hpnya okee mana dapet BH juga lumayan, body hpnya pun good banget deh. Semoga awet hihi",5,2022-04-26 05:04
nadilachairunisa,FAST CHARGING SET ORIGINAL,,5,2022-04-26 04:13
federico.jrh,iPhone 5s Second Original,Sudah ke 2x nya beli iPhone di ifonespot. Pelayanan yang friendly dan pastinya memberika suggest yang oke punya. Apalagi utk payment method nya yang membuat kita bisa mendapatkan barang impian tanpa perlu pusing karena ifonespot memberikan kemudahan dalam transaksi.,5,2022-04-26 02:43
andrie.setyaband,iPhone 5s Second Original,,5,2022-04-25 21:58
bomin.co,iPhone 11 128GB  SECOND ORIGINAL,,5,2022-04-25 20:57
nisahest84,iPhone 5s Second Original,,5,2022-04-25 16:21
ajepe03,Headset iPhone lightning untuk iPhone 7/8/X/XS/XR/11/12,,5,2022-04-25 12:49
evitarachmaliasafitri,iPhone 5s Second Original,,5,2022-04-25 02:02
eighaaprilia,iPhone 5s Second Original,,5,2022-04-25 01:31
hellolousy,iPhone 5s Second Original,,5,2022-04-24 15:49
yumz.okonomiyaki,iPhone XR 128 GB Second ORIGINAL,"Barang nya mulus berfungsi dengan baik 👌👍😄

Niceee",5,2022-04-24 11:13
wda_store,iPhone XR 128 GB Second ORIGINAL,,5,2022-04-24 04:00
firaaanya2,iPhone 5s Second Original,,5,2022-04-23 15:11
rizkipratama170702,iPhone  5s  SECOND ORIGINAL,,5,2022-04-23 10:29
